#CustomerId,Surname,CreditScore,Age,Tenure,NumOfProducts,HasCrCard,EstimatedSalary,Exited,Balance,Rank
15806771,Yefremova,753,40,0,2,1,177065,1,3769,1
15713774,Chikwendu,644,46,6,1,0,156787,1,12459,2
15776467,De Salis,702,35,8,2,1,54689,0,14263,3
15741416,Yegorov,707,42,2,1,1,77503,0,16894,4
15669011,Bocharova,659,44,9,1,0,169862,1,23503,5
15800083,Macdonald,559,45,8,1,0,169781,1,24043,6
15674156,Tretiakova,810,69,3,1,1,110510,0,27288,7
15715638,Ch'ang,824,77,3,2,0,2746,0,27517,8
15690925,McIntosh,527,29,2,1,1,97468,1,27756,9
15594878,Thompson,661,41,5,1,1,69586,1,28083,10
15598485,Pinto,567,40,8,1,1,95141,0,28650,11
15649292,Bellucci,748,49,7,1,0,163551,1,29602,12
15627830,Nikitina,640,30,5,1,0,141446,0,32198,13
15574761,Lynch,466,41,3,2,1,178994,1,33564,14
15677371,Ko,629,30,2,1,1,19571,0,34014,15
15693906,Abbott,645,24,3,1,1,11638,0,34548,16
15798964,Nkemakonam,714,33,3,1,1,53667,0,35017,17
15751032,Enemuo,629,37,1,2,0,49676,0,35550,18
15791172,Yeh,672,21,1,1,1,28790,0,35742,19
15629338,Collingridge de T,658,31,2,1,1,103645,1,36567,20
15592979,Rose,671,34,6,2,0,156917,0,37267,21
15743976,Archer,618,41,8,1,1,195775,0,37703,22
15773283,Dennis,641,65,6,1,1,32608,1,38340,23
15752622,Kerr,729,32,7,1,0,179230,0,38550,24
15679394,Owen,651,41,4,1,1,104877,0,38617,25
15602811,Chioke,730,38,0,2,0,94003,0,38848,26
15763662,Longo,711,43,2,2,1,175424,0,39043,27
15611186,Yevdokimova,609,37,1,1,1,178292,1,39345,28
15754929,Douglas,757,31,10,2,0,192519,0,39539,29
15684042,Blair,636,34,2,2,0,53512,0,40106,30
15682834,Johnstone,715,35,4,2,1,199857,0,40170,31
15672875,Piccio,584,32,8,1,1,137439,0,40173,32
15624428,Longo,651,24,7,1,1,178341,0,40225,33
15576124,Muravyova,582,41,1,1,1,128529,0,40489,34
